Name,Date,Type,Duration(sec)
,27-02-2019 11:17,ALL,0
ct,27-02-2019 11:05,OUTGOING,72
ct,27-02-2019 11:01,MISSED,0
ct,27-02-2019 10:51,ALL,0
ct,27-02-2019 10:28,OUTGOING,0
sd,27-02-2019 10:28,OUTGOING,14
,27-02-2019 10:22,OUTGOING,13
,27-02-2019 09:59,INCOMING,18
,27-02-2019 08:54,OUTGOING,66
,26-02-2019 20:01,OUTGOING,41
ct,26-02-2019 19:12,INCOMING,13
ct,26-02-2019 18:59,INCOMING,35
,26-02-2019 18:58,OUTGOING,0
,26-02-2019 18:56,OUTGOING,0
,26-02-2019 18:51,OUTGOING,30
ct,26-02-2019 18:17,INCOMING,404
,26-02-2019 12:51,ALL,0
,26-02-2019 11:06,ALL,0
sd,26-02-2019 10:32,OUTGOING,29
,26-02-2019 10:27,OUTGOING,32
sk,25-02-2019 23:28,OUTGOING,360
md,25-02-2019 22:39,INCOMING,44
md,25-02-2019 21:52,INCOMING,35
md,25-02-2019 21:52,OUTGOING,0
md,25-02-2019 21:52,MISSED,0
ai,25-02-2019 21:18,OUTGOING,0
,25-02-2019 21:02,OUTGOING,17
,25-02-2019 21:01,OUTGOING,0
bs,25-02-2019 20:56,INCOMING,58
md,25-02-2019 20:36,OUTGOING,49
md,25-02-2019 20:32,INCOMING,32
md,25-02-2019 20:29,INCOMING,44
md,25-02-2019 20:28,OUTGOING,0
as,25-02-2019 20:01,INCOMING,33
rc,25-02-2019 19:25,INCOMING,32
,25-02-2019 19:09,OUTGOING,5
,25-02-2019 19:03,OUTGOING,9
ct,25-02-2019 19:00,OUTGOING,7
,25-02-2019 18:50,MISSED,0
,25-02-2019 18:45,OUTGOING,7
ct,25-02-2019 18:41,OUTGOING,37
,25-02-2019 17:48,ALL,0
ct,25-02-2019 17:07,INCOMING,18
,25-02-2019 16:02,ALL,0
ct,25-02-2019 15:14,INCOMING,32
ct,25-02-2019 15:08,OUTGOING,0
ai,25-02-2019 15:05,OUTGOING,0
,25-02-2019 14:38,ALL,0
,25-02-2019 14:06,INCOMING,2
,25-02-2019 13:48,MISSED,0
,25-02-2019 13:34,ALL,0
ai,25-02-2019 12:39,OUTGOING,0
,25-02-2019 10:06,INCOMING,6
ct,25-02-2019 10:02,INCOMING,58
ct,25-02-2019 10:01,OUTGOING,0
ct,25-02-2019 09:57,OUTGOING,0
sd,25-02-2019 09:55,OUTGOING,20
,25-02-2019 09:54,OUTGOING,23
,25-02-2019 09:47,INCOMING,69
,24-02-2019 22:35,INCOMING,55
,24-02-2019 22:29,OUTGOING,37
mm,24-02-2019 20:45,INCOMING,15
mm,24-02-2019 20:41,INCOMING,22
mm,24-02-2019 20:39,OUTGOING,0
mm,24-02-2019 20:31,INCOMING,12
sd,24-02-2019 20:18,INCOMING,43
mm,24-02-2019 20:11,OUTGOING,16
ai,24-02-2019 19:53,OUTGOING,21
ai,24-02-2019 19:47,OUTGOING,40
mm,24-02-2019 19:24,MISSED,0
md,24-02-2019 19:20,INCOMING,260
md,24-02-2019 19:10,OUTGOING,11
ai,24-02-2019 18:53,OUTGOING,26
mm,24-02-2019 18:53,OUTGOING,17
,24-02-2019 18:49,OUTGOING,7
as,24-02-2019 18:45,INCOMING,20
,24-02-2019 17:46,OUTGOING,93
,24-02-2019 17:44,OUTGOING,32
ai,24-02-2019 17:37,MISSED,0
mm,24-02-2019 17:34,MISSED,0
,24-02-2019 15:45,ALL,0
ct,24-02-2019 15:14,INCOMING,22
,24-02-2019 15:08,INCOMING,5
,24-02-2019 15:05,OUTGOING,16
,24-02-2019 14:37,INCOMING,33
,24-02-2019 14:33,MISSED,0
ct,24-02-2019 14:13,OUTGOING,68
ct,24-02-2019 14:10,MISSED,0
ct,24-02-2019 14:09,ALL,0
ct,24-02-2019 13:57,OUTGOING,0
ct,24-02-2019 12:13,INCOMING,35
,24-02-2019 10:40,OUTGOING,38
,24-02-2019 10:32,MISSED,0
ud,23-02-2019 23:25,INCOMING,12
ud,23-02-2019 23:21,OUTGOING,14
,23-02-2019 23:19,OUTGOING,28
ud,23-02-2019 23:17,INCOMING,42
as,23-02-2019 20:48,INCOMING,20
,23-02-2019 20:40,OUTGOING,6
as,23-02-2019 20:01,OUTGOING,61
,23-02-2019 19:26,MISSED,0
as,23-02-2019 19:23,INCOMING,37
ai,23-02-2019 17:40,OUTGOING,0
ct,23-02-2019 17:39,INCOMING,55
ai,23-02-2019 17:37,OUTGOING,0
ai,23-02-2019 17:35,OUTGOING,0
ai,23-02-2019 16:40,OUTGOING,0
,23-02-2019 16:27,INCOMING,16
ai,23-02-2019 16:11,OUTGOING,0
ct,23-02-2019 15:31,OUTGOING,40
ct,23-02-2019 15:11,INCOMING,62
ct,23-02-2019 14:57,OUTGOING,0
ct,23-02-2019 14:57,ALL,0
ai,23-02-2019 14:24,INCOMING,18
ai,23-02-2019 14:23,INCOMING,29
va,23-02-2019 14:21,OUTGOING,37
va,23-02-2019 14:21,ALL,0
ct,23-02-2019 13:16,INCOMING,186
ud,23-02-2019 09:56,OUTGOING,49
sd,23-02-2019 09:55,OUTGOING,0
,23-02-2019 09:50,OUTGOING,9
ai,23-02-2019 07:01,INCOMING,60
,23-02-2019 00:04,INCOMING,9
,22-02-2019 23:58,OUTGOING,39
,22-02-2019 22:22,OUTGOING,15
va,22-02-2019 22:11,OUTGOING,294
va,22-02-2019 22:11,ALL,0
as,22-02-2019 20:50,OUTGOING,16
ma,22-02-2019 20:50,OUTGOING,8
as,22-02-2019 20:45,OUTGOING,22
,22-02-2019 20:26,INCOMING,8
,22-02-2019 20:23,OUTGOING,13
,22-02-2019 20:16,OUTGOING,25
ma,22-02-2019 20:04,INCOMING,44
ma,22-02-2019 19:50,OUTGOING,0
as,22-02-2019 19:48,OUTGOING,46
as,22-02-2019 19:47,INCOMING,50
va,22-02-2019 19:25,OUTGOING,625
va,22-02-2019 19:12,INCOMING,749
,22-02-2019 19:10,INCOMING,7
,22-02-2019 19:07,OUTGOING,14
,22-02-2019 19:06,OUTGOING,32
,22-02-2019 18:51,INCOMING,8
va,22-02-2019 18:48,OUTGOING,0
,22-02-2019 18:47,OUTGOING,30
va,22-02-2019 18:41,OUTGOING,0
ct,22-02-2019 18:39,INCOMING,48
ma,22-02-2019 18:27,INCOMING,31
as,22-02-2019 18:24,INCOMING,83
ai,22-02-2019 18:04,INCOMING,568
ai,22-02-2019 17:31,OUTGOING,0
ct,22-02-2019 17:28,INCOMING,152
,22-02-2019 17:11,ALL,0
as,22-02-2019 17:08,INCOMING,86
,22-02-2019 16:36,ALL,0
,22-02-2019 15:53,MISSED,0
,22-02-2019 15:39,MISSED,0
,22-02-2019 15:26,OUTGOING,0
,22-02-2019 15:06,ALL,0
ai,22-02-2019 15:05,INCOMING,221
ai,22-02-2019 15:01,OUTGOING,0
ai,22-02-2019 14:50,OUTGOING,0
,22-02-2019 14:50,ALL,0
,22-02-2019 14:49,OUTGOING,0
,22-02-2019 14:49,ALL,0
ai,22-02-2019 14:06,OUTGOING,0
ai,22-02-2019 14:06,OUTGOING,0
,22-02-2019 14:04,ALL,0
ai,22-02-2019 13:51,OUTGOING,0
ai,22-02-2019 13:32,OUTGOING,0
va,22-02-2019 13:12,INCOMING,227
ai,22-02-2019 12:56,OUTGOING,0
ct,22-02-2019 12:15,OUTGOING,256
ai,22-02-2019 12:02,OUTGOING,165
,22-02-2019 11:48,MISSED,0
ai,22-02-2019 11:38,ALL,0
,22-02-2019 11:14,ALL,0
ai,22-02-2019 11:12,ALL,0
ma,22-02-2019 10:51,INCOMING,43
ct,22-02-2019 10:23,OUTGOING,0
ud,22-02-2019 10:21,INCOMING,106
ct,22-02-2019 10:21,OUTGOING,0
ud,22-02-2019 10:20,OUTGOING,0
sd,22-02-2019 10:19,OUTGOING,0
,22-02-2019 10:18,OUTGOING,13
,22-02-2019 10:15,OUTGOING,0
ai,22-02-2019 09:35,OUTGOING,0
ai,22-02-2019 09:32,MISSED,0
,22-02-2019 09:21,OUTGOING,0
ai,22-02-2019 09:14,OUTGOING,55
ai,22-02-2019 09:12,MISSED,0
ud,22-02-2019 06:18,INCOMING,27
sd,22-02-2019 06:12,INCOMING,28
,22-02-2019 06:09,OUTGOING,58
,22-02-2019 06:08,OUTGOING,26
sd,22-02-2019 06:07,INCOMING,10
sd,22-02-2019 06:01,INCOMING,9
sd,21-02-2019 22:27,INCOMING,19
,21-02-2019 21:48,OUTGOING,17
sj,21-02-2019 21:45,OUTGOING,37
sd,21-02-2019 20:29,INCOMING,48
,21-02-2019 20:27,MISSED,0
,21-02-2019 20:25,OUTGOING,26
,21-02-2019 20:25,OUTGOING,16
bs,21-02-2019 19:46,OUTGOING,307
bs,21-02-2019 19:44,MISSED,0
va,21-02-2019 19:23,OUTGOING,330
va,21-02-2019 19:22,MISSED,0
